id,policy_start_date,policy_end_date,sum_insured,construction_description,year_built,num_stories,square_foot_area,oed_construction_code
282853290,07/03/2023,02/07/2024,810995,wood frame (2x4 inch wood),2018,1,4404,5050
320574929,22/05/2023,21/05/2024,1570826,reinforced masonry with RBM walls,1966,1,13438,5105
180769611,03/07/2023,06/03/2024,2951380,wood frame (2x4 inch wood),2010,1,18386,5050
242192464,18/11/2022,18/11/2023,1208103,reinforced masonry - stucco cladding and flat roof with parapets,1978,1,5630,5105
330756108,05/01/2024,01/05/2025,997485,light metal w/ corrugated roof,2006,2,13029,5201
986173124,16/04/2023,15/04/2024,1853146,joisted masonry,2008,1,37266,5108
728666492,25/01/2023,25/01/2024,1896990,wood frame 2x4 w/ wood bracing,2013,2,10486,5050
886209024,10/05/2023,04/10/2024,1748297,wood frame - stucco cladding  & hip roof,2009,1,10360,5050
181123475,06/05/2023,04/06/2024,2848968,reinforced  masonry and wood frmed flt roof without parapets,2000,2,16793,5105
169411445,06/02/2023,01/06/2024,467312,wood frame 2x4 w/ wood bracing,2019,1,2055,5050
548451547,31/10/2023,30/10/2024,2029037,light gauge steel frame,1965,1,37553,5201
256239379,14/11/2023,13/11/2024,690672,joisted masonry,1971,1,8289,5108
990153631,26/06/2023,25/06/2024,4102004,reinforced masonry - brick veneer cladding and flat roof without parapets,1998,1,31806,5105
94479625,30/04/2023,29/04/2024,2273429,wood frame 2x4 w/ wood bracing,1966,1,23998,5050
418310289,03/07/2023,06/03/2024,2478830,reinforced masonry - stucco cladding & flat roof,1961,1,17466,5105
671810085,24/01/2023,24/01/2024,4038078,reinforced masonry,1976,1,23388,5105
486899962,08/02/2023,01/08/2024,869851,masonry -joisted masonry,2013,1,1796,5108
803932768,24/05/2023,23/05/2024,1596255,wood frame 2x4 w/ wood bracing,2013,1,1494,5050
210707495,24/11/2023,23/11/2024,2229951,light gauge steel frame,2020,1,5919,5201
7873060,22/06/2023,21/06/2024,2066677,light gauge steel frame,1985,1,12783,5201
720060228,22/12/2023,21/12/2024,459323,joisted masonry,2005,1,8019,5108
655371307,22/09/2023,21/09/2024,4415493,joisted masonry,2005,1,16864,5108
